moment,isin,name,contract_type,iz_fiz,clients_in_long,clients_in_short,short_position,long_position,change_prev_week_short_abs,change_prev_week_long_abs,change_prev_week_short_perc,change_prev_week_long_perc,
2020-12-21,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,1.0000,1196.0,696.00,141517,172522,28670,23084,0.25406,0.15447,
2020-12-21,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,,15.000,18.000,62340,24652,3382.0,3539.0,0.05736,0.16762,
2020-12-21,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,,33.000,30.000,74154,43149,4129.0,9715.0,0.05896,0.29057,
2020-12-21,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,1.0000,16054,4314.0,192640,718874,7550.0,-28596,0.04079,-0.03826,
2020-12-21,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,1.0000,792.00,555.00,92270,129958,20726,20569,0.28970,0.18804,
2020-12-21,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,,241.00,105.00,1109115,582881,-52102,-15956,-0.04487,-0.02664,
2020-12-21,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,1.0000,1764.0,1169.0,30962,111615,2758.0,-9688.0,0.09779,-0.07987,
2020-12-21,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,,5.0000,5.0000,1975.0,273.00,188.00,64.000,0.10520,0.30622,
2020-12-21,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,,5.0000,6.0000,2935.0,2298.0,432.00,451.00,0.17259,0.24418,
2020-12-21,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,1.0000,95.000,84.000,4790.0,5427.0,1391.0,1372.0,0.40924,0.33835,
2020-12-21,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,,25.000,45.000,99941,19288,-10739,1707.0,-0.09703,0.09709,
2020-12-21,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,1.0000,71.000,65.000,2427.0,4129.0,1073.0,1197.0,0.79247,0.40825,
2020-12-21,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,,8.0000,16.000,8127.0,2634.0,-120.00,-100.00,-0.01455,-0.03658,
2020-12-21,SNGR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",C,,1.0000,1.0000,1400.0,1400.0,,,,,
2020-12-21,SNGR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",P,,1.0000,1.0000,1400.0,1400.0,,,,,
2020-12-21,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,1.0000,183.00,44.000,229.00,5722.0,19.000,-1.0000,0.09048,-0.00017,
2020-12-21,LKOH,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",F,1.0000,467.00,333.00,4060.0,15000,908.00,-2131.0,0.28807,-0.12439,
2020-12-21,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",C,,2.0000,3.0000,3204.0,2193.0,124.00,124.00,0.04026,0.05993,
2020-12-21,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",P,1.0000,4.0000,4.0000,129.00,129.00,6.0000,6.0000,0.04878,0.04878,
2020-12-21,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",P,,1.0000,1.0000,122.00,122.00,,,,,
2020-12-21,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",C,1.0000,62.000,60.000,3527.0,4538.0,144.00,144.00,0.04257,0.03277,
2020-12-21,LKOH,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",F,,16.000,29.000,13716,2776.0,-2939.0,100.00,-0.17646,0.03737,
2020-12-21,RTS,Фьючерсный контракт на Индекс РТС,F,1.0000,2910.0,4939.0,76905,44631,-7951.0,9149.0,-0.09370,0.25785,
2020-12-21,RTS,Опцион на Фьючерсный контракт на Индекс РТС,P,,24.000,23.000,26498,20661,7890.0,9644.0,0.42401,0.87537,
2020-12-21,RTS,Опцион на Фьючерсный контракт на Индекс РТС,P,1.0000,1212.0,696.00,42076,47913,5456.0,3702.0,0.14899,0.08373,
2020-12-21,RTS,Опцион на Фьючерсный контракт на Индекс РТС,C,,18.000,29.000,15176,11842,2507.0,954.00,0.19788,0.08762,
2020-12-21,RTS,Опцион на Фьючерсный контракт на Индекс РТС,C,1.0000,928.00,602.00,42654,45988,11547,13100,0.37120,0.39832,
2020-12-21,RTS,Фьючерсный контракт на Индекс РТС,F,,46.000,91.000,131421,163695,11889,-5211.0,0.09946,-0.03085,
2020-12-21,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,C,1.0000,48.000,25.000,643.00,671.00,175.00,175.00,0.37393,0.35282,
2020-12-21,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,P,,,2.0000,42.000,,,,,,
2020-12-21,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,C,,,2.0000,28.000,,,,,,
2020-12-21,GOLD,Фьючерсный контракт на аффинированное золото в слитках,F,,68.000,18.000,78445,22060,2150.0,-1291.0,0.02818,-0.05529,
2020-12-21,GOLD,Фьючерсный контракт на аффинированное золото в слитках,F,1.0000,4942.0,808.00,10436,66821,610.00,4051.0,0.06208,0.06454,
